sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-18
spandsp 0.0.6-7
spdlog 1.17.0-2
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.350.1-1
sqlite 3.53.3-1
squashfs-tools 4.7.5-1
sratom 0.6.22-1
srt 1.5.5-1
sshfs 3.7.6-1
starship 1.26.0-1
stoken 0.92-6
sudo 1.9.17.p2-6
sushi 50.0-1
svt-av1 4.1.0-1
swaybg 1.2.2-1
swayosd 0.3.1-1
sysfsutils 2.1.1-2
syslinux 6.04.pre3.r3.g05ac953c-4
system-config-printer 1.5.18-6
systemd 261.1-1
systemd-libs 261.1-1
systemd-resolvconf 261.1-1
systemd-sysvcompat 261.1-1
t2fanrd r16.48baf96-1
talloc 2.4.4-1
tar 1.35-2
tcl 8.6.16-1
tcpdump 4.99.6-1
tdb 1.4.15-1
terminus-font 4.49.1-8
tesseract 5.5.2-1
tesseract-data-eng 2:4.1.0-5
tesseract-data-osd 2:4.1.0-5
testdisk 7.2-3
texinfo 7.3-1
thermald 2:2.5.12-1
thin-provisioning-tools 1.3.3-1
tiny-dfr v0.3.7.r8.g3f666f9-1
tinysparql 3.11.1-1
tmux 3.7_b-1
tomlplusplus 3.4.0-2
totem-pl-parser 3.26.7-1
tpm2-tools 5.7-1
tpm2-tss 4.1.3-1
tree-sitter 0.26.9-1
tree-sitter-c 0.24.1-2
tree-sitter-lua 0.5.0-3
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
tslib 1.24-1
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-liberation 2.1.5-2
ttf-ubuntu-font-family 1:0.83-2
tzdata 2026c-1
uchardet 0.0.8-4
udftools 2.3-3
udisks2 2.11.1-2
ufw 0.36.2-7
unibilium 2.1.2-1
unzip 6.0-23
upower 1.91.3-1
uriparser 1.0.2-1
usb_modeswitch 2.6.2.20251207-1
usbmuxd 1.1.1-4
usbutils 019-1
util-linux 2.42.2-1
util-linux-libs 2.42.2-1
uwsm 0.26.6-1
v4l-utils 1.32.0-2
vapoursynth 77-2
vid.stab 1.1.1-3
vim 9.2.0735-1
vim-runtime 9.2.0735-1
virtualbox-guest-utils-nox 7.2.12-1
vmaf 3.2.0-1
volume_key 0.3.12-12
vpnc 1:0.5.3.r557.r241-1
vulkan-icd-loader 1.4.350.1-1
vulkan-intel 1:26.1.4-1
vulkan-mesa-implicit-layers 1:26.1.4-1
vulkan-radeon 1:26.1.4-1
walker-bin 2.16.2-1
waybar 0.15.0-2
wayland 1.25.0-1
wayland-protocols 1.49-1
webrtc-audio-processing-1 1.3-5
wget 1.25.0-5
which 2.25-1
wireless-regdb 2026.05.30-1
wireless_tools 30.pre9-5
wireplumber 0.5.15-1
wl-clipboard 1:2.3.0-1
wpa_supplicant 2:2.11-5
wvdial 1.61-10
wvstreams 4.6.1-21
x264 3:0.165.r3222.b35605a-2
x265 4.2-2
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-4
xcb-util 0.4.1-2
xcb-util-cursor 0.1.6-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xdg-desktop-portal 1.22.1-2
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland 1.3.12-2
xdg-terminal-exec 0.14.0-1
xdg-user-dirs 0.20-1
xdg-user-dirs-gtk 0.16-1
xdg-utils 1.2.1-2
xfsprogs 7.0.1-1
xkeyboard-config 2.48-1
xl2tpd 1.3.20-1
xmlsec 1.3.12-1
xorg-fonts-encodings 1.1.0-2
xorg-server-common 21.1.24-1
xorg-setxkbmap 1.3.5-1
xorg-xkbcomp 1.5.0-1
xorg-xprop 1.2.8-1
xorg-xwayland 24.1.13-1
xorgproto 2025.1-1
xvidcore 1.3.7-4
xxhash 0.8.3-1
xz 5.8.3-1
yoga 3.2.1-1
yyjson 0.12.0-1
zeromq 4.3.5-3
zimg 3.0.6-2
zix 0.8.2-1
zlib 1:1.3.2-3
zlib-ng 2.3.3-1
zoxide 0.10.0-1
zsh 5.9.2-1
zstd 1.5.7-3
